"","Jmax","Vcmax25","leaf_respiration_rate_m2","leafN - area","c2n_leaf","leaf_nitrogen_rubisco","mass_nitrogen_rubisco","SLA","minimum_stomatal_conductance","stomatal_slope.g1","fineroot2leaf","growth_respiration","target_c2n_leaf","target_c2n_fineroot","root_dist_ratio"
"0.135",71.8086154291508,36.478211246884,0.240272361114571,0.925837343685482,17.6113534465279,0.0620353225010881,5.03778430949917,20.9320150701075,70.081798828663,1.15501713800804,1.41322368000852,0.209611353260874,17.3509005947764,29.5008301317204,0.637863946995262
"2.275",81.7338095814185,41.3676774231287,0.273409748169334,1.06318422282816,19.9463774915883,0.0720589058841935,5.72518964695516,24.0439511096724,79.9509116830629,1.31839047585174,1.60286202864753,0.239984449399269,19.9299686588971,33.6378400998903,0.719983100653525
"15.866",91.6028927130695,46.4116070663406,0.307877834983431,1.19687487965934,22.4672653617033,0.0809396049507481,6.43241340696241,27.029784306122,89.9455584291944,1.47517121572099,1.79881867365489,0.270228323483934,22.4937809183014,37.8688713099364,0.810170099276748
"50",101.715295235593,51.5786277397414,0.342240004631012,1.32814225964438,25.0111024355959,0.0899704715297603,7.15859244213032,30.0348484460092,99.9661662907124,1.63972338998038,1.99909200247011,0.299825829705855,24.9804305514831,42.0369499769496,0.8994546795766
"84.134",111.602076853472,56.7293574504533,0.37612292621559,1.46158255825213,27.5364087992402,0.0989959171910987,7.86821504267806,33.0927947791461,109.863827816118,1.80213717661898,2.19942471470589,0.329508328905645,27.4777765811907,46.2663028824997,0.989860151360874
"97.725",121.269883314063,61.983944142535,0.410089181697,1.59630134574199,30.0125484064462,0.108055714528669,8.58088377270449,36.0347117730176,120.063386556687,1.96793117611327,2.40071582904764,0.360258051333032,29.9946172599566,50.3749096445749,1.07970747526478
"99.865",131.085362252482,67.1993584555446,0.445374828891516,1.72140825133615,32.5059754032014,0.117714706701708,9.20020291270616,39.2100790207993,131.1639279483,2.14802555737915,2.60972820197856,0.391887560244607,32.471007647607,54.6389386265646,1.17702519263278
