"id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
9000012350,9000000001,9000000004,9000000003,"low temp low light",2018-08-01 05:00:00,NA,9000000001,8534,48.25,NA,NA,NA,"SLA",8,-90.397189,38.674593,FALSE,TRUE,48.25,NA
9000012343,9000000001,9000000004,9000000003,"low temp low light",2018-08-01 05:00:00,NA,9000000001,8534,40.49,NA,NA,NA,"SLA",8,-90.397189,38.674593,FALSE,TRUE,40.49,NA
9000012285,9000000001,9000000004,9000000002,"low temp medium light",2018-07-20 05:00:00,NA,9000000001,8534,77.61,NA,NA,NA,"SLA",7,-90.397189,38.674593,FALSE,TRUE,77.61,NA
9000012278,9000000001,9000000004,9000000002,"low temp medium light",2018-07-20 05:00:00,NA,9000000001,8534,70.24,NA,NA,NA,"SLA",7,-90.397189,38.674593,FALSE,TRUE,70.24,NA
9000012271,9000000001,9000000004,9000000002,"low temp medium light",2018-07-20 05:00:00,NA,9000000001,8534,95.66,NA,NA,NA,"SLA",7,-90.397189,38.674593,FALSE,TRUE,95.66,NA
9000012264,9000000001,9000000004,9000000002,"low temp medium light",2018-07-20 05:00:00,NA,9000000001,8534,64.21,NA,NA,NA,"SLA",7,-90.397189,38.674593,FALSE,TRUE,64.21,NA
9000014273,9000000001,9000000004,9000000012,"31C_450light",2019-03-12 05:00:00,NA,9000000002,8534,1.92,"SE",0.13,3,"leaf_respiration_rate_m2",3,-90.397189,38.674593,NA,TRUE,1.92,0.13
9000014274,9000000001,9000000004,9000000012,"31C_450light",2019-03-12 05:00:00,NA,9000000002,8534,1.5,"SE",0.16,3,"leaf_respiration_rate_m2",3,-90.397189,38.674593,NA,TRUE,1.5,0.16
9000014275,9000000001,9000000004,9000000012,"31C_450light",2019-03-26 05:00:00,NA,9000000001,8534,1.33,"SE",0.15,3,"leaf_respiration_rate_m2",3,-90.397189,38.674593,NA,TRUE,1.33,0.15
9000014286,9000000001,9000000004,9000000012,"31C_450light",2019-03-11 05:00:00,NA,9000000002,8534,28.6,"SE",2.2,3,"Vcmax",3,-90.397189,38.674593,NA,TRUE,28.6,2.2
9000014287,9000000001,9000000004,9000000012,"31C_450light",2019-03-26 05:00:00,NA,9000000001,8534,29.7,"SE",0.74,3,"Vcmax",3,-90.397189,38.674593,NA,TRUE,29.7,0.74
9000014288,9000000001,9000000004,9000000012,"31C_450light",2019-07-22 05:00:00,NA,9000000002,8534,20.1,"SE",1.7,3,"Vcmax",7,-90.397189,38.674593,NA,TRUE,20.1,1.7
9000014281,9000000001,9000000004,9000000012,"31C_450light",2019-03-26 05:00:00,NA,9000000001,8534,34800,"SE",22000,3,"cuticular_cond",3,-90.397189,38.674593,NA,TRUE,34800,22000
9000014280,9000000001,9000000004,9000000012,"31C_450light",2019-03-12 05:00:00,NA,9000000002,8534,64300,"SE",51000,3,"cuticular_cond",3,-90.397189,38.674593,NA,TRUE,64300,51000
9000014279,9000000001,9000000004,9000000012,"31C_450light",2019-03-11 05:00:00,NA,9000000002,8534,32900,"SE",20000,3,"cuticular_cond",3,-90.397189,38.674593,NA,TRUE,32900,20000
9000014278,9000000001,9000000004,9000000012,"31C_450light",2019-03-26 05:00:00,NA,9000000001,8534,49300,"SE",20000,3,"cuticular_cond",3,-90.397189,38.674593,NA,TRUE,49300,20000
9000014277,9000000001,9000000004,9000000012,"31C_450light",2019-03-12 05:00:00,NA,9000000002,8534,27400,"SE",55000,3,"cuticular_cond",3,-90.397189,38.674593,NA,TRUE,27400,55000
9000014276,9000000001,9000000004,9000000012,"31C_450light",2019-03-11 05:00:00,NA,9000000002,8534,16300,"SE",17000,3,"cuticular_cond",3,-90.397189,38.674593,NA,TRUE,16300,17000
