plant_1aci	16	1550939922	2734.1	20190223 10:38:42	10:38:42	1550939922	0.003925058	22.72487274	193.843	50.31340524	5.038519437	19.41195828	0.268168818	3.463020763	0.257143069	0.161667263	241.6778853	25.75471746	24.9718	3.174335656	51.65241602	1.682817689	3.257965103	1.491517967	-173.0950436	81.54985037	4.990678721	155.1233708	-0.041461376	0.046544027	3.473636581	0	0	1	0	53153.82032	-	0	0	0	#DIV/0!	0	-	0	0	#DIV/0!	0.5	1261.2699	22.72487274	#DIV/0!	#DIV/0!	0.018017454	#DIV/0!	-	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	246	300	300	300	7143.79	535.386	-0.00579546	-0.820496	1500.07	1261.2699	0.840807363	0.191614725	1550939922	193.843	200.028	16.8042	15.7879	500.092	100.08	0.0626839	25.4086	24.9718	999.9	0	0	9990.62	0	6.31032	1500.07	0.972999	0.0270011	0	213.028	4.99951	3888.46	13592.4	41.5	43.125	42.5	43.125	43.937	1454.7	40.37	0	2064.3	213.5170769	-2.64800001	-47.55521368	3893.301923	15	1550939944	10:39:04	17	0.376	0.118	200	16	0.36	0.14	194.1678095	-0.450857143	0.023827993	1	1	1	1-Jan	1.87821	1.88341	1.88133	1.87848	1.87819	1.88035	1.87934	1.87523	5	0	0	0	11111111	oooooooo	off	off	off	off	0	100	100	0.376	0.118	2	513.701	522.082	22.5748	26.3775	29.9993	26.4019	26.3714	11.9542	28.6058	14.0617	22.6341	200	15.7394	100.146	100.221
plant_1aci	17	1550940012	2824.1	20190223 10:40:12	10:40:12	1550940012	0.004769817	13.10330033	96.4041	28.23998393	2.827918063	9.653790754	0.32870305	3.462571758	0.312299351	0.196592663	241.6778853	25.68591637	24.9828	3.176418455	51.3268308	1.684094259	3.281118731	1.492324196	-210.3489352	101.7374219	6.231003934	139.2973759	-0.041454573	0.04653639	3.473185833	0	0	1	0	53124.14634	-	0	0	0	#DIV/0!	0	-	0	0	#DIV/0!	0.5	1261.2699	13.10330033	#DIV/0!	#DIV/0!	0.010388974	#DIV/0!	-	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	246	300	300	300	7143.79	535.386	-0.00579546	-0.820496	1500.07	1261.2699	0.840807363	0.191614725	1550940012	96.4041	99.9768	16.8176	15.5823	499.976	100.076	0.0627986	25.5278	24.9828	999.9	0	0	9989.38	0	6.31032	1500.07	0.972999	0.0270011	0	218.74	4.99951	3989.64	13592.5	41.562	43.187	42.562	43.187	44	1454.7	40.37	0	2154.3	219.4411538	-2.7331282	-44.59692305	3995.153846	15	1550940031	10:40:31	18	0.078	0.108	100	16	0.29	0.08	96.73310476	-0.457324675	0.024537522	1	1	1	1-Jan	1.8782	1.88346	1.88134	1.87848	1.8782	1.88037	1.87938	1.87524	5	0	0	0	11111111	oooooooo	off	off	off	off	0	100	100	0.078	0.108	2	513.856	521.387	23.0125	26.3789	30.0001	26.4017	26.3692	7.51961	29.5792	13.3135	23.0234	100	15.5353	100.154	100.225
plant_1aci	18	1550940094	2905.5	20190223 10:41:33	10:41:33	1550940094	0.004902589	6.542583344	48.1708	14.87591282	1.489639766	4.823713346	0.336650483	3.465972938	0.319482184	0.201145881	241.6411776	25.70445752	25.0001	3.179696547	51.0651745	1.680330712	3.290560991	1.499365835	-216.204184	107.6486248	6.588748544	139.6743669	-0.041506115	0.04659425	3.47660021	0	0	1	0	53178.85914	-	0	0	0	#DIV/0!	0	-	0	0	#DIV/0!	0.5	1261.0767	6.542583344	#DIV/0!	#DIV/0!	0.005188093	#DIV/0!	-	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	246	300	300	300	7143.79	535.386	-0.00579546	-0.820496	1499.84	1261.0767	0.840807486	0.191614973	1550940094	48.1708	49.9565	16.7802	15.5104	499.95	100.075	0.0627047	25.5762	25.0001	999.9	0	0	10001.9	0	6.31032	1499.84	0.972995	0.0270052	0	228.642	4.99951	4161.23	13590.3	41.625	43.25	42.625	43.25	44.062	1454.47	40.37	0	2235.9	228.9183462	-0.149367518	2.813675215	4161.377692	15	1550940120	10:41:59	19	0.105	0.112	50	16	0.31	0.15	48.16910476	-0.414124675	0.024628603	1	1	1	1-Jan	1.87822	1.88349	1.88136	1.87849	1.8782	1.88042	1.8794	1.87529	5	0	0	0	11111111	oooooooo	off	off	off	off	0	100	100	0.105	0.112	2	513.776	520.869	22.7377	26.3748	30.0001	26.3953	26.3647	5.30863	29.6276	12.5691	22.7388	50	15.5215	100.158	100.23
plant_1aci	19	1550940181	2992.5	20190223 10:43:00	10:43:00	1550940181	0.005134507	2.648010457	19.2801	6.403260094	0.641173222	1.93056094	0.353556539	3.458440808	0.33463379	0.210761816	241.6762893	25.6565229	25.001	3.179867164	51.06824212	1.680760868	3.291205646	1.499106297	-226.4317776	107.8621701	6.616336688	129.7230185	-0.041392003	0.046466149	3.469038863	0	0	1	0	53037.86731	-	0	0	0	#DIV/0!	0	-	0	0	#DIV/0!	0.5	1261.2615	2.648010457	#DIV/0!	#DIV/0!	0.002099494	#DIV/0!	-	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	246	300	300	300	7143.79	535.386	-0.00579546	-0.820496	1500.06	1261.2615	0.840807368	0.191614736	1550940181	19.2801	20.0037	16.7854	15.4556	499.973	100.069	0.0633095	25.5795	25.001	999.9	0	0	9975	0	6.31032	1500.06	0.972999	0.0270011	0	232.523	4.99951	4224.52	13592.3	41.687	43.25	42.687	43.25	44.125	1454.69	40.37	0	2322.9	232.9009231	-2.540991464	-50.85401711	4230.433077	15	1550940206	10:43:25	20	0.206	0.107	20	15	0.39	0.08	19.21348095	-0.4692	0.025814275	1	1	1	1-Jan	1.87831	1.88351	1.88139	1.87851	1.8782	1.88041	1.8794	1.87529	5	0	0	0	11111111	oooooooo	off	off	off	off	0	100	100	0.206	0.107	2	513.831	520.542	22.769	26.3753	30.0001	26.3975	26.3647	4.00093	29.66	11.8225	22.7681	20	15.4519	100.16	100.227
plant_1aci	20	1550940267	3078.5	20190223 10:44:26	10:44:26	1550940267	0.005387847	0.893020577	9.68524	5.462173584	0.546964649	0.969849056	0.371794883	3.463713934	0.350961205	0.221125234	241.6762893	25.63174509	24.9902	3.177820283	50.88313106	1.677822324	3.297403854	1.499997959	-237.6040523	115.962898	7.103159052	127.1382941	-0.04147188	0.046555818	3.474332441	0	0	1	0	53130.53566	-	0	0	0	#DIV/0!	0	-	0	0	#DIV/0!	0.5	1261.2615	0.893020577	#DIV/0!	#DIV/0!	0.000708038	#DIV/0!	-	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	246	300	300	300	7143.79	535.386	-0.00579546	-0.820496	1500.06	1261.2615	0.840807368	0.191614736	1550940267	9.68524	9.93421	16.7553	15.3599	499.993	100.074	0.0628119	25.6112	24.9902	999.9	0	0	9993.75	0	6.31032	1500.06	0.972999	0.0270011	0	231.426	4.99951	4201.92	13592.3	41.75	43.312	42.75	43.312	44.187	1454.69	40.37	0	2408.7	231.3691538	-0.134153834	-18.18427346	4203.984231	15	1550940289	10:44:48	21	0.239	0.102	10	15	0.38	0.11	9.664662857	0.08966026	0.008003365	1	1	1	1-Jan	1.87821	1.88345	1.88137	1.87849	1.8782	1.88037	1.87939	1.8753	5	0	0	0	11111111	oooooooo	off	off	off	off	0	100	100	0.239	0.102	2	513.805	520.188	22.9672	26.382	30.0002	26.4019	26.3692	3.57886	29.7577	11.0729	22.9682	10	15.4254	100.164	100.225
plant_1aci	23	1550940551	3363	20190223 10:49:11	10:49:11	1550940551	0.002164606	24.73910209	393.254	106.690582	10.68162578	39.3717232	0.143932782	3.466958497	0.140693673	0.088218495	241.6683094	25.79443538	24.9855	3.17692987	52.46481655	1.673909455	3.190537135	1.503020415	-95.4591071	13.40149479	0.817820412	160.4285175	-0.041521054	0.046611021	3.477589595	0	0	1	0	53289.40978	-	0	0	0	#DIV/0!	0	-	0	0	#DIV/0!	0.5	1261.2195	24.73910209	#DIV/0!	#DIV/0!	0.019615223	#DIV/0!	-	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	246	300	300	300	7143.79	535.386	-0.00579546	-0.820496	1500.01	1261.2195	0.840807395	0.19161479	1550940551	393.254	399.993	16.7194	16.1589	500.111	100.055	0.0627946	25.0572	24.9855	999.9	0	0	10007.5	0	6.31032	1500.01	0.972999	0.0270011	0	204.689	4.99951	3742.62	13591.9	41.812	43.5	42.875	43.437	44.25	1454.64	40.37	0	2693.1	204.66	-1.084034189	-17.51658119	3744.604615	15	1550940569	10:49:28	24	0.704	0.133	400	16	0.36	0.28	393.2581905	0.073402597	0.009256241	1	1	1	1-Jan	1.87822	1.88344	1.8813	1.87849	1.8782	1.88039	1.87933	1.87525	5	0	0	0	11111111	oooooooo	off	off	off	off	0	100	100	0.704	0.133	2	513.666	521.4	21.8713	26.3954	30.0008	26.4019	26.3669	20.4046	25.302	9.58483	21.821	400	16.2028	100.176	100.229
plant_1aci	24	1550940631	3442.5	20190223 10:50:30	10:50:30	1550940631	0.002379533	26.65280788	392.766	114.2953436	11.44265923	39.32170246	0.160041894	3.462427661	0.156042912	0.09787779	241.6699054	25.76529378	24.9531	3.170797636	52.63490087	1.681118263	3.19392311	1.489679373	-104.9374081	22.75463416	1.390306629	160.8774381	-0.04145239	0.04653394	3.473041177	0	0	1	0	53201.63953	-	0	0	0	#DIV/0!	0	-	0	0	#DIV/0!	0.5	1261.2279	26.65280788	#DIV/0!	#DIV/0!	0.021132428	#DIV/0!	-	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	246	300	300	300	7143.79	535.386	-0.00579546	-0.820496	1500.02	1261.2279	0.840807389	0.191614779	1550940631	392.766	400.032	16.7919	16.1757	500.036	100.052	0.0628329	25.075	24.9531	999.9	0	0	9991.25	0	6.31032	1500.02	0.972999	0.0270011	0	204.484	4.99951	3745.93	13592	41.812	43.5	42.875	43.437	44.25	1454.65	40.37	0	2772.9	204.6024231	0.358461535	11.4608547	3744.530385	15	1550940650	10:50:49	25	0.66	0.132	400	16	0.37	0.21	392.8463333	-0.476883117	0.02472002	1	1	1	1-Jan	1.87828	1.88344	1.88136	1.8785	1.8782	1.88039	1.87936	1.87526	5	0	0	0	11111111	oooooooo	off	off	off	off	0	100	100	0.66	0.132	2	513.332	521.198	22.2232	26.3909	30	26.3997	26.3631	20.4047	25.2876	9.58483	22.2369	400	16.1399	100.178	100.23
plant_1aci	25	1550940711	3522.5	20190223 10:51:50	10:51:50	1550940711	0.002539816	27.37310002	392.575	123.0083294	12.31424815	39.30031399	0.170244861	3.45969734	0.165724029	0.103973698	241.6619255	25.83241606	24.9852	3.176873043	52.27569238	1.679860049	3.213463032	1.497012994	-112.0059028	35.84899082	2.193584024	167.6985975	-0.041411032	0.046487511	3.470300268	0	0	1	0	53132.32763	-	0	0	0	#DIV/0!	0	-	0	0	#DIV/0!	0.5	1261.1859	27.37310002	#DIV/0!	#DIV/0!	0.021704255	#DIV/0!	-	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	246	300	300	300	7143.79	535.386	-0.00579546	-0.820496	1499.97	1261.1859	0.840807416	0.191614833	1550940711	392.575	400.047	16.7803	16.1226	500.047	100.046	0.0630594	25.1774	24.9852	999.9	0	0	9981.88	0	6.25347	1499.97	0.972999	0.0270011	0	205.823	4.99951	3763.04	13591.5	41.812	43.5	42.875	43.437	44.25	1454.6	40.37	0	2852.7	205.5993462	0.920991436	18.01196579	3761.048846	15	1550940730	10:52:09	26	0.756	0.128	400	16	0.36	0.13	392.5109524	-0.393662338	0.021968541	1	1	1	1-Jan	1.87825	1.88349	1.88134	1.87851	1.8782	1.88038	1.87938	1.87529	5	0	0	0	11111111	oooooooo	off	off	off	off	0	100	100	0.756	0.128	2	513.458	521.089	22.0995	26.3753	29.9992	26.3893	26.3559	20.4026	25.7341	9.21382	22.1449	400	16.0766	100.183	100.23
plant_1aci	26	1550940791	3602.5	20190223 10:53:10	10:53:10	1550940791	0.002433122	27.50478349	392.505	109.4338736	10.95461503	39.29077011	0.162453662	3.465863663	0.158338889	0.099322821	241.6587184	25.87742356	24.9954	3.178805675	52.14479188	1.677889712	3.217751287	1.500915963	-107.3006798	38.19247558	2.333205719	174.8837198	-0.041504459	0.046592391	3.476490511	0	0	1	0	53243.18313	-	0	0	0	#DIV/0!	0	-	0	0	#DIV/0!	0.5	1261.169092	27.50478349	#DIV/0!	#DIV/0!	0.021808958	#DIV/0!	-	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	246	300	300	300	7143.79	535.386	-0.00579546	-0.820496	1499.95	1261.169092	0.840807422	0.191614844	1550940791	392.505	400.002	16.7617	16.1315	499.954	100.04	0.0625977	25.1998	24.9954	999.9	0	0	10005	0	6.31032	1499.95	0.972999	0.0270011	0	206.764	4.99951	3782.23	13591.4	41.875	43.5	42.875	43.437	44.25	1454.59	40.37	0	2932.5	206.674	0.243350436	12.33777779	3780.938462	15	1550940814	10:53:33	27	0.726	0.128	400	16	0.26	0.2	392.5147619	0.009194805	0.005672866	1	1	1	1-Jan	1.87821	1.88346	1.88129	1.8785	1.8782	1.88037	1.87934	1.87529	5	0	0	0	11111111	oooooooo	off	off	off	off	0	100	100	0.726	0.128	2	513.56	521.021	22.106	26.3642	30.0001	26.382	26.3492	20.4028	25.4789	9.21382	22.1035	400	16.0986	100.188	100.235
plant_1aci	27	1550940875	3686.5	20190223 10:54:34	10:54:34	1550940875	0.002415323	27.67235518	392.449	105.514169	10.5613158	39.28171792	0.161147661	3.458602607	0.15708962	0.0985371	241.6549795	25.87571446	24.9861	3.177043528	52.08788463	1.675360279	3.216410671	1.501683249	-106.5157522	38.54131999	2.359266479	176.0398139	-0.041394453	0.0464689	3.46920129	0	0	1	0	53108.85087	-	0	0	0	#DIV/0!	0	-	0	0	#DIV/0!	0.5	1261.152	27.67235518	#DIV/0!	#DIV/0!	0.021942125	#DIV/0!	-	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	246	300	300	300	7143.79	535.386	-0.00579546	-0.820496	1499.93	1261.152	0.840807238	0.191614476	1550940875	392.449	399.987	16.7379	16.1124	500.038	100.031	0.0628158	25.1928	24.9861	999.9	0	0	9979.38	0	6.31032	1499.93	0.972999	0.0270011	0	207.306	4.99951	3793.6	13591.2	41.875	43.5	42.875	43.437	44.25	1454.57	40.36	0	3016.5	207.3271538	0.073299135	11.03521372	3792.438462	15	1550940895	10:54:54	28	0.701	0.129	400	16	0.32	0.16	392.456619	-0.255116883	0.018732392	1	1	1	1-Jan	1.87827	1.88352	1.88135	1.87851	1.8782	1.88043	1.87942	1.8753	5	0	0	0	11111111	oooooooo	off	off	off	off	0	100	100	0.701	0.129	2	513.505	520.561	22.1371	26.3531	29.9999	26.3709	26.3396	20.4086	25.4883	8.84096	22.1451	400	16.1287	100.194	100.236
