"","Jmax","Vcmax25","leaf_respiration_rate_m2","leafN - area","c2n_leaf","leaf_nitrogen_rubisco","mass_nitrogen_rubisco","SLA","minimum_stomatal_conductance","stomatal_slope.g1","fineroot2leaf","growth_respiration","target_c2n_leaf","target_c2n_fineroot","root_dist_ratio"
"0.135",70.9762590734311,19.8245507548458,0.240057808584576,0.933480977223595,24.6714650325846,0.063667051795119,5.04981635014492,12.9897326522998,69.7378997714315,1.1437003932352,1.05132294669789,0.20835714500934,17.5578360403587,29.8256943852665,0.622403048574487
"2.275",81.3661124887824,22.6478437774033,0.273144715374182,1.06566329935807,28.2978592686739,0.0720726768924195,5.74262601881223,14.7663884141219,80.3578685572132,1.31238777391969,1.20407772875823,0.241075123184033,20.0599835942746,33.5081934220225,0.719940981516631
"15.866",91.6676309168236,25.5572939685972,0.307517833449871,1.19760191140261,31.7601587786458,0.0810203807242977,6.45385660296006,16.5770368397969,89.9400003264634,1.475863708762,1.35189076015423,0.270225131494378,22.5349538981449,37.7791962390997,0.810923083869566
"50",101.659225921561,28.3429394051478,0.342364621964657,1.33153474020837,35.3430838062608,0.0899988003788253,7.1626559776012,18.4379103313242,100.049393430188,1.63883548688447,1.50161424143935,0.300128103701508,25.0081234574362,41.9805492556584,0.900283046499526
"84.134",111.759031214141,31.2259310767543,0.376921287064006,1.46299327602925,38.8749539720101,0.0989232322058952,7.87739148949758,20.3325284057053,110.049664407918,1.80310738983893,1.64824007727942,0.329861999845699,27.4931198376837,46.2253515172118,0.990381435311487
"97.725",121.938354948924,34.0719841944335,0.410703489730856,1.59418095051715,42.3977470615327,0.107933834019315,8.57707422611218,22.1784968154806,119.936756939298,1.96845611431024,1.80182059647889,0.360727714458115,29.959007447992,50.547494566882,1.07747912604881
"99.865",132.127416271701,37.1550241947259,0.442031909838189,1.71432849431694,45.9749788717209,0.116531991641712,9.28384959635219,24.1626302834753,129.542900315777,2.13659088120457,1.93778592664316,0.389670542424275,32.3262317459555,54.7738662334054,1.16898957285743
